videoId,title,publishedAt
z5vXMNk1-cw,【パワプロ2020 #9】夏の甲子園出場決定🔥栄冠ナイン⚾✨【#楠栞桜】,2020-08-12T10:04:00Z
gN-Jq_rotro,【パワプロ2020 #8】公式試合だ！評価Aには負けたくない🔥栄冠ナイン⚾✨【#楠栞桜】,2020-08-11T08:45:21Z
loVWu_dNBIs,【パワプロ2020 #7】春が来る！新入生の時期だ！！栄冠ナイン⚾✨【#楠栞桜】,2020-08-10T08:54:36Z
I5MSGbOF9aM,【パワプロ2020 #6】楠坂高校の新しい夏が始まる！栄冠ナイン⚾✨【#楠栞桜】,2020-08-09T05:57:36Z
666NL4dIxdk,【パワプロ2020 #5】春の甲子園！！栄冠ナイン⚾✨【#楠栞桜】,2020-08-08T20:18:02Z
1GWboaajBa0,【パワプロ2020 #4】目指すは超名門！？栄冠ナイン⚾✨【#楠栞桜】,2020-08-08T07:38:34Z
wG5JQbuRmfM,【パワプロ2020 #3】目指すは甲子園のみ！栄冠ナイン⚾✨【#楠栞桜】,2020-08-07T06:20:39Z
Lzdkzg8cMFc,【パワプロ2020 #2】バットは持ったな！栄冠ナイン⚾✨【#楠栞桜】,2020-08-06T03:38:01Z
5k0eCUGnmWQ,【パワプロ2020 #1】初心者監督の栄冠ナイン⚾✨【#楠栞桜】,2020-08-04T15:59:44Z
