0:32	あまなつみかん	こんばんはー
0:32	K Tony	こんばんはー
0:32	キンシャサ	開始前なのにスパチャえぐー
0:32	八坂.	きちゃ！
0:32	ぶたどん	ｷﾀ━(ﾟ∀ﾟ)━!
0:33	ばるすん応援用	ゆーみん！！！
0:33	CarMania385	こんばんはー🌸
0:33	司令_つかされい	ヒダマリクロニカでいくのか
0:34	ろくじょう	こんばんはー🌸
0:34	key ton	こんばんは🌸
0:34	太陽の塔	こんばんはー！🌸
0:34	れめれめ	静粛に
0:35	司-つかさ-	こんばんわ🌸
0:35	アイリス	開廷！！
0:35	サナ	こんばんは
0:36	やあけ	こんばんわ
0:36	桜色の図書館	こんばんは
0:36	しあわせターン	こんばんは🌸
0:37	あるて	こんばんは〜
0:38	つぁいす	こんばんは🌸
0:38	ミツキ	こんばんは
0:38	愛じゃよハリー	開廷―！
0:38	st913546	こんばんは
0:39	日陽	こんばんわー
0:39	ネギ豆腐	こんばんわ～🌸
0:40	鍵桜-かぎざくら-	こんばんは！
0:40	% ショウ%	きたぁぁぁぁぁぁ
0:40	めろんぱん	きたこれ
0:40	シルビア	こんばんは
0:41	KoMaさん	静粛に！静粛に！
0:41	かえるライダー	ここでヒダマリトロニカはずるい！！
0:42	にわか哲学者やの	こんばんはー
0:42	Evac 1899	こんばんは🌸
0:43	しれいかん	こんばんは
0:43	Tsubasa		￥3,000
0:43	上田ゴリラ	📷📷
0:44	みかんみかん	エモい
0:44	グレブナー基底	こんばんは
0:44	とろろ	こんばんは～🌸
0:44	おおくそん	ヒダマリトロニカすこ
0:44	ローズマリー	ﾊﾟｼｬﾊﾟｼｬﾊﾟｼｬ
0:45	琉以玲央	すごい勢いだ
0:45	太陽の塔	📸📸📸📸📸
0:46	のりしお	開廷！
0:46	184	こんばんは
0:46	綾ノ乃 四季	こんばんわーー！
0:46	としn	草	￥500
0:46	しおとまかのん大好き丸	こんばんは☆彡
0:46	桜夏	こんばんは〜！	￥250
0:46	終末死相	こんばんわ
0:46	村カメレオン	こんばんはー🌸
0:46	ハセマ・スネーク	こんばんは🌸
0:47	しまご	こんばんは
0:47	YN WA	📸📸📸📸📸📸
0:47	くものき_	開廷のお時間です
0:47	おっ	こんばんはー
0:47	愛じゃよハリー	パシャパシャ！パシャパシャ！
0:48	shigure tokiame	こんばんは～
0:48	グラコロ	こんばんわ
0:48	山本零-4	こんばんは🌸
0:48	てんぷる	こんばんは
0:49	Astral Clover	こんばんは〜
0:50	とんとんせっとん	こんばんはー！
0:50	ジャックダニエル	さて
0:50	gk _y	こんばんはー
0:50	はにゅーだいすけ	こんばんは
0:50	いざよいさくや	こんばんは～
0:50	ローズマリー	こんばんは🌸
0:51	tias estel	こんばんは🌸
0:51	SHINJI.K	こんばんは🌸
0:51	揚げ饅頭	こんばんはー
0:51	ね ゙え ゙え ゙	こんばんは～～
0:51	ひっきー	こんばんはー
0:52	西都なつ	こんばんは
0:52	key ton	囲め📸囲め📸囲め📸🎥
0:52	Ash Alba	こんばんわー🌸
0:52	鶏丸	こんばんはー
0:52	Cloelia	こんばんは🌸
0:52	de ra	こんばんわ🌸
0:52	_ rain_	こんばんは
0:54	のらつづみ	📸📸📸
0:54	梶まーりん	こんばんは～🌸
0:55	taka32 S	こんばんは🌸
0:55	ネムレス	こんばんは～
0:55	masaki andou	開廷のお時間です
0:55	MON JA	こんばんはー
0:55	雨宮恵	こんばんはっ🌸
0:56	璃月アフロ	こんばんはー
0:56	ぐっち〜。	こんばんは
0:56	O I	多井「白鳥有罪」
0:56	sora neko	こんばんは🌸
0:57	ほわちゃん	こんばんはー
0:57	th sd	まっぴーと格が違う
0:57	leno nowhere	こんばんはー🌸
0:57	どらどら	白鳥最強！！白鳥最強
0:58	Westeria	こんばんはー🌸
0:58	鰯水八幡宮	こんばんは
0:58	バルビン	こんばんは
0:59	さんさんさんさんさんさん	こんばんは🌸
0:59	トッキー	ゆーみんが一番巻き込まれてるよね
1:00	レイザーRR		￥250
1:00	桑原みー	こんばんは～
1:00	終末死相	めっちゃないすぱーーー
1:00	嘘800	●REC
1:00	みかんみかん	📸📸📸📸📸📸📸
1:00	らん	開始ツイートえらい
1:00	Azusa Asami	こんばんは！
1:01	司令_つかされい	開廷した
1:01	T.T.F.	こんばんは
1:01	rizumboys777	裁判開廷
1:01	キングペンギン	死刑かなあ
1:01	七夜	こんばんわー
1:02	CEO T	開廷!	￥1,000
1:02	ロール	こんばんは～🌸
1:02	らうめん	こんばんはー
1:02	マケゐヌ	こんばんは
1:02	皇	こんばんは🌸
1:02	さみゅ	こんばんは〜
1:02	たろうやまだ	こんばんはー
1:03	キョン	こんばんわ
1:03	arishine 1	改定！
1:03	シオ	ご祝儀でいいのかな？	￥500
1:03	ふぅこ	こんばんは🌸
1:04	順平	こんばんは🌸
1:04	is kz	こんばんはー🌸
1:04	花嫁の魔女	こんばんわ！
1:05	メイダイン	裁判の時間だー！	￥200
1:05	ヨウ	こんばんはー
1:05	十三姫	こんばんはー🌸
1:06	ruska	こんばんはー
1:07	freezer 史上最弱のレート13	いいゾこれ
1:07	首都ブラジリア	こんばんは
1:07	いざよいさくや	裁判長！有罪です！
1:08	花吹雪	開廷！！！！
1:08	rapid eye rabbit	📸📸📸📸📸
1:08	J MAEDA	こんばんは
1:09	どんぐり1986	こんばんは🌸
1:09	白くま	こんばんわー！
1:09	飛鳥	こんばんわー🌸
1:09	レッドウッドへいぽう	開廷！
1:09	Takebon	📸📸📸📸📸
1:09	とな関	傍聴代	￥500
1:10	くろしば	こんばんはー🌸
1:11	ゴリラのきゃんの	こんばんは📷
1:11	サナ	開廷！
1:11	アイリス	そしてこのBGM
1:11	雨貫さん	こんばんは🌸
1:11	ゆういち	🌸
1:11	しろりん	傍聴しに来ました
1:12	颯斗	こんばんはー！
1:12	月十字	こんばんは📸
1:12	まりふぇるべおー	こんばんわー
1:13	愛じゃよハリー	こんばんわ、白鳥プロ！今のお気持ちを！
1:13	黎㐂	こんばんは～🌸
1:13	おかしろ	こんばんわ～🌸
1:14	slyness	もう
1:14	GIGA	こんばんは
1:14	Timothyほおばっ太郎	お三方 楽しみにしてました！白鳥プロおめでとう	￥610
1:14	花吹雪	静粛に！！
1:15	darumaf1	こんばんは！
1:15	いおいお	白鳥裁判
1:15	Levith	こんばんは🌸
1:15	takahisa kawazoe	こんばんは
1:16	みのる	開廷だー
1:16	Toccsch	こんばんは
1:16	ばるすん応援用	📸📸パシャ
1:16	nao 77		￥500
1:16	水瀬静	こんばんは
1:16	hasuneみのOG	こんばんは～🌸
1:16	ザンズ	こんばんは！
