0:36	シオ	こんばんはー
0:36	らにふ	こんばんは
0:37	シヴァ村卯月	こんばんわ～🌸
0:37	なしの天然水	こんばんは～、GWお疲れさまでした
0:37	春季限定のりしお風味	こんばんわん
0:37	ken dosagure	こんばんはー🌸
0:37	かなどめ	こんばんはー
0:38	四季綾ノ乃	こんばんはー🌸
0:38	木更津ゆき	こんばんは
0:38	のくと	こんばん、わー！
0:38	ろっきー	こんばんは！
0:38	ぽーとぴあ	GWお疲れさまでした！＆9万人おめでとう…！	￥1,140
0:38	akki	こんばんはー
0:38	キャットフィッシュ	こんばんは～
0:38	あかいろいちご	こんばんは
0:39	さぁや	こんばんは！
0:39	K泉ペンキ	こんばんは🌸
0:39	Nights -O	こんばんは〜
0:39	げるまにうむ。	こんばんは！
0:39	しまご	こんばんは
0:39	SHINJI.K	こんばんは🌸９万人おめでとうございます！
0:39	ケバブ	こんばんは
0:39	ロザエ	こんばんは～
0:39	Takebon	こんばんは🌸
0:39	taka32 S	こんばんは🌸
0:40	みささんべ	九萬人越えおめでとうございます GWお疲れ様でした
0:40	真っ黒フウ	こんばんは！！
0:40	むあーん。	ばんわー🌸
0:40	ねこみらーじゅ	こんばんは～～～～
0:40	たかちゃん	こんばんはー
0:41	かえるライダー	こんばんは～🌸
0:41	ずん	こんばんは🌸
0:41	アルゴノゥトチームGospel	こんばんは🌸
0:41	植物	こんばんは🌸
0:42	ひこたろ	こんばんはー
0:43	のり塩	こんばんはー
0:43	ロジー	こんばんは
0:43	双子葉類-FutagobaTagui-	こんばんわ！
0:44	とかしおり	大好きです
0:44	zu ki	こんばんは🌸
0:44	紫月	こんばんは🌸
0:44	ひら野アマノ	こんばんは～
0:44	せしのれ	こんばんは～
0:44	J PR	こんばんはー
0:44	One dora	今日も一日お疲れ様でした！
0:44	KA A	こんばんはー
0:44	焼きそば	こんばんは
0:44	Ash Alba	こんばんわー🌸
0:44	だあでん	こんばんは〜
0:45	かme	こんばんわー🌸
0:45	汐岡崎	こんばんはー
0:45	なーく	こんばんはぁ🌸
0:45	おたき	こんばんは
0:46	やまP	こんばんはー🌸
0:46	Kiichang	こんばんしおちゃん！
0:46	こーちゃ	こんばんわー🌸
0:46	Evac 1899	こんばんは🌸
0:46	グリヴェン	こんばんは！
0:46	葵雨	牛さん謝罪
0:46	ruska	こんばんは！
0:47	ザッハトルテ。	こんばんはー🌸
0:48	ポテト	こんばんわ🌸
0:49	流世	9	￥1,220
0:49	GPE	こんばんはー
0:50	アビス	こんばんは🌸9万人おめでとうございます
0:50	T.T.F.	こんばんはー
0:50	ねるねる	こんばんは～
0:50	アステラピス	こんばんわー🌸
0:50	彼岸	こんばんわー
0:51	ミラー欲しいマン	こんばんは
0:51	タカシ	こんばんは
0:51	十三姫	こんばんはー🌸
0:51	Nights -O	こんばんわ〜〜〜〜！！！！！
0:51	のいん	こんばんは
0:51	カラスは可愛いのですよ?	こんばんはー🌸
0:51	\らじお/	こんばんわー
0:51	スーパーガク	konnbannha-
0:51	孤高の探索者	栞桜ちゃん、こんばんは！
0:51	Nao02	こんばんはー
0:51	光-ひかり-	こんばんは～
0:51	たいてい	こんばんは～
0:52	かえるライダー	おめでとう～
0:52	wawa db	こんばんはー！
0:52	けうやぎはすり	こんばんはー
0:52	Westeria	こんばんはー
0:52	なんごくとうふ	こんばんは
0:52	桜花ありす	こんばんは〜
0:53	諦めちゃったけど諦められないれみちゃん446#NCB	こんばんわ～🌸
0:53	くものき_	こんばんは！！！
0:53	CEO T	退屈しないGWをありがとう	￥1,000
0:54	飲む牛乳	こんばんはー、お疲れ様でした
0:54	銀河美少年	こんばんは🌸
0:54	ちべ	こんばんわー
0:55	logos2501	こんばんわ！
0:55	限界	おめでとおおお
0:55	みかんみかん	新曲？
0:55	CarMania E-NA1	こんばんは、9萬人おめでとう！	￥200
0:55	kai	こんばんはー
0:56	ポテト	🎉✨😆✨🎊
0:56	・しののん	おめでとー！
0:57	雨宮恵	9万人おめでとう！！
0:57	木一	こんばんは🌸
0:57	もるぽん	9万人おめでとうございますー！
0:57	Astral Clover	おめでとう！
0:57	ミキSS	こんばんは ＧＷお疲れ様でした！	￥200
