2020/04/05 17:22:05.295	井之内蛙	谷井さんちょっと難しいな	
2020/04/05 17:22:11.058	Jジェイ	進まない....	
2020/04/05 17:22:11.091	gaty fs	47ｍが薄いのか	
2020/04/05 17:22:12.194	やまぶどう	ありがとうございます、戻れました。良い所見逃した	
2020/04/05 17:22:22.108	raizoらいぞう	三色に振り替えた	
2020/04/05 17:22:22.282	天城久秀	日吉さん楽しそうですね	
2020/04/05 17:22:27.893	くろしば	６７８狙いか	
2020/04/05 17:22:29.796	ほわちゃん	三色見えてきた	
2020/04/05 17:22:30.774	やあけ	しぼられてるのか	
2020/04/05 17:22:44.410	rapid eye rabbit	中が	
2020/04/05 17:22:46.819	Jジェイ	だんだんと谷井さん有利に向いてきましたね	
2020/04/05 17:22:46.830	ns zn	ジャストか	
2020/04/05 17:22:47.359	司令_つかされい	戻ってきた	
2020/04/05 17:22:49.778	パイライトテディ	どうなるかな	
2020/04/05 17:22:53.042	gaty fs	5ｐも逃せない順目	
2020/04/05 17:23:06.579	天城久秀	苦しすぎる…	
2020/04/05 17:23:15.143	司令_つかされい	絞りのテク	
2020/04/05 17:23:25.146	井之内蛙	新井さんも全然手が進まねぇ	
2020/04/05 17:23:33.759	唐揚げ大好き	執念のしぼり	
2020/04/05 17:23:36.159	vanishinggift	一応リーヅモチートイある	
2020/04/05 17:23:38.679	raizoらいぞう	テンパらないねー	
2020/04/05 17:23:38.936	gaty fs	47ｍと57ｐをツモって来ないといけない	
2020/04/05 17:23:39.518	くろしば	近藤プロ鳴けないときついか…	
2020/04/05 17:23:40.075	mother ship	そっかー	
2020/04/05 17:23:40.262	ほわちゃん	谷井さんしっかり絞ってる	
2020/04/05 17:23:40.331	トリフネ	谷井さんすご	
2020/04/05 17:23:50.226	ひっきー	終盤の選択…	
2020/04/05 17:23:51.564	Jジェイ	これは新井さんダメそうですね...	
2020/04/05 17:23:55.115	のぎす	谷井さん絞りすごい	
2020/04/05 17:23:59.254	琵琶丸	うーん！	
2020/04/05 17:23:59.603	司令_つかされい	テンパイ欲しい	
2020/04/05 17:24:07.177	gaty fs	ソウズばかり・・・	
2020/04/05 17:24:13.065	ほわちゃん	ソウズばっかり…	
2020/04/05 17:24:13.064	Jジェイ	絞られている上にツモがピンズに進まないのが致命的ですね	
2020/04/05 17:24:15.834	いざよいさくや	テンパイキツい	
2020/04/05 17:24:16.597	月十字	新井さん自力でテンパイしないと	
2020/04/05 17:24:21.823	MiZKi	絞って完封はすごい	
2020/04/05 17:24:22.864	ばどらっく	こんなに押し寄せてくるとはな	
2020/04/05 17:24:25.818	vanishinggift	いやーマジか	
2020/04/05 17:24:26.378	くろしば	テンパイとれないと……	
2020/04/05 17:24:27.926	司令_つかされい	あの手で	
2020/04/05 17:24:29.243	Nights -O	なかなか引きが…	
2020/04/05 17:24:29.647	井之内蛙	あれ？テンパイできない？ヤバい？	
2020/04/05 17:24:34.045	唐揚げ大好き	新井さん聴牌できない・・・	
2020/04/05 17:24:40.784	フワンテ	上がれるとおもったんだけどなぁ	
2020/04/05 17:24:42.241	くろしば	やばいやばい	
