0:40	帝龍姫	こんばんは
0:40	ちっそむし	こんばんは
0:40	聖徳明太子	こんばんはー
0:40	すっかい	じゃんたまの広告来たw
0:40	茉名.まな.	きちゃー
0:40	あい	こんばんはー！
0:41	桜色の図書館	こんばんは
0:41	しあわせターン	こんばんは～
0:41	十波由真	こんばんはー
0:41	かえるライダー	こんばんは～🌸
0:41	なおるひ	こんばんは🌸
0:41	片岡タコス	こんばんわー
0:41	ルィス	こんばんは～🌸
0:41	ウーパーマン	こんばんはー
0:41	xia kk	こんばんは
0:41	まるもす	Twitter
0:42	taka32 S	こんばんは🌸
0:42	Emi px	こんばんわ〜
0:42	うみとり	こんばんは
0:43	VF ジン【UD】	こんばんは🌸
0:43	ノカゼ	こんばんはー
0:43	村カメレオン	こんばんはー🌸
0:43	キラーT細胞	こんばんはー
0:44	司-つかさ-	こんばんわー
0:47	トゥートゥー	こんばんは～
0:47	ひいらぎ大納	おはだはー
0:47	たかちゃん	こんばんはー
0:47	ゆっきー	こんばんはー
0:47	皇	こんばんは🌸
0:47	らいず	こんばんは
0:48	あかいくん	こんばんはー🌸
0:48	アイラ	こんばんはー🌸
0:49	pldra プレドラ	こんばんはー
0:50	しみやん	こんばんはー
0:50	もののおのの	こんばんは
0:50	_ rain_	こんばんは
0:51	くぅくぅ	こんばんはー
0:51	雪うどん	こんばんはー
0:51	Jジェイ	こんばんはー！
0:51	sa	こんばんは🌸
0:52	kafeore2001	こんばんは～🌸
0:55	キョン	こんばんはー
0:55	年刊木材	こんばんはー
0:55	朝永空	こんばんわー🌸
0:55	mezzoforte	こんばんは～🌸
0:55	デモア	おいもうリスナー枠埋まったぞｗｗｗ
0:55	V沼ぼーるず	チャンタとか、イッツーとか鳴きありなのかな？
0:56	桜夏	こんばんは〜！	￥250
0:56	ありにゃ	こんばんは～
0:56	ふぉのん	こんばんはー🌸
0:56	小咲	こんばんは～
0:56	清水めだか	こんばんは
0:57	琵琶丸	こんばんはー🌸
0:57	とろろ	耐久がんばってください！	￥1,000
0:57	銀河美少年	こんばんは🌸
0:57	明日カン八郎	こんばんは
0:57	LeirosSkyly[れいろす]	こんばんはー🌸
0:58	zu ki	こんばんは🌸
0:58	ShingoMk-Ⅱ	こんばんは🌸
0:58	ネムレス	こんばんはー🌸
0:58	カラスは可愛いのですよ?	こんばんはー🌸
0:58	marianne van tienen	こんばんはー🌸
0:58	シルビア	こんばんは🌸
0:59	/ライ/	こんばんはー
0:59	ミド	こんばんは
0:59	むばぃん	こんばんはー🌸
1:00	たぶまる	こんばんは〜
1:00	しまご	こんばんは
1:00	はるめたる	こんばんは～🌸
1:01	ろっきー	こんばんは🌸
1:01	アイスアイス	こんばんは
1:01	濃厚かまぼこ	こんばんわ🌸
1:01	としn	頑張れ	￥500
1:01	おは	こんばんは
1:01	えいの	こんばんはー
1:01	レイザーRR	こんばんは～
1:02	黒㐂	こんばんは～🌸
1:02	121mj	こんばんは
1:02	Toccsch	こんばんは
1:03	21	こんばんは🌸
1:04	_lili_	こんばんは～🌸
1:04	メイダイン	こんばんはー
1:04	りんご田べる	こんばんはー
1:04	ミツキ	こんばんは
1:04	月十字	埋まるのはっや
1:04	芝村	こんばんは～！
1:04	こころふるえる	こーんーばーんーわー＾＾
1:05	ホロ酔い	こんばんはー
1:05	ひっきー	こんばんはー
1:05	グリヴェン	こんばんはー
1:05	O B	こんばんはー
1:05	琵琶丸	お楽しみとな
1:05	T M	こんばんは
1:10	司令_つかされい	スナイプはえー
1:10	ムラ	こんばんわー🌸
1:10	kuromen	はっや
1:10	Astral Clover	こんばんはー
1:10	やまP	こんばんはー🌸🌸
1:11	はるめたる	草
1:11	sakkon	こんばんは～
1:11	甘木	🔥
1:12	ろき	ぬるっと始まったｗ
1:12	*ねう*	こんばんは
1:12	芋下きぬ	こんばんわー-
1:12	Peco	こんばんはー🌸
1:12	月色	こんばんは
1:12	もののおのの	はやい
1:12	Jippa	こんばんは
1:13	keg-on	出爆音舞元ビビった
1:13	あおいの	はや！？
1:13	へぷたん	こんばんは～
1:13	天城久秀	こんばんは～🌸
1:14	せしのれ	こんばんは～
1:14	破竹ヤヨイ	耐久頑張ってくださいね。	￥1,000
1:14	花吹雪	はやーい
1:14	オーレウェルギウス	こんばんはー🌸
1:14	コロンゾン	こんばんは～
1:15	木目	こんばんは～
1:15	あむねこ	こんばんはー
1:15	ゾイドゼロ	こんばんは🌸
1:21	ザッハトルテ。	こんばんはー🌸
1:21	りべ	おこんばんわ
1:21	Red eyes	こんばんは～
1:22	ようχ	こんばんはー
1:22	サニブ	こんばんはー
1:23	K泉ペンキ	こんばんは🌸
1:23	茉名.まな.	こんばんはー桜
1:25	ノーマット	早いねぇ
1:25	ゆずコーク	こんばんわー
1:25	やあけ	こんばんわ
1:25	北傘	こんばんはー
1:25	ぎんいろ	もう草
1:25	30歳副住職	こんばんわー🌸
1:26	ヘロへロ	こんばんはー
1:26	yamappii	誰かいるｗ
1:26	とな関	コラボ代	￥500
1:26	Chocola	急に始まった
1:27	芝村	びっくりしたぞ舞元！
1:27	やっとう	こんばんは～🌸
1:27	おっ	こんばんはー
1:27	KA A	こんばんはー
1:27	Makotola	開幕舞元
1:27	チヒロ氏	こんばんわー
1:28	のーれっじ	ヌルッと始まったな
1:28	ピコット	音声と動画来た
1:29	としn	こんばんは
1:30	ふぅと、ため息	こんばんは～！
1:30	やる夫	こんばんは～
1:30	あのんまのんver.II	こんばんはー🌸
1:30	タニシ	こんばんは🌸
1:30	帰宅RTA	フライング舞元
1:30	クラインドルフ	はやすぎ！
1:30	taka32 S	草
1:31	Ryo	こんばんはー
1:31	かなどめ	こんばんはー
1:32	Yuki Tomono	こんばんはー
1:32	じょでぃ	こんばんはー！
1:32	いいさん	こんばんは🌸
1:32	MOTHERSHIP	こんばんはー🌸
1:32	レモン	こんばんは～！🌸
1:34	姫ノ木あく	今来た。こんばんはー
1:34	ネムレス	こんばんはー
1:34	si n	こんばんは～
1:35	やわらむ	ついにきたかクリア麻雀
1:35	ボルツ	こんばんわー🌸
1:35	ほしりん	こんばんは～
1:35	花嫁の魔女	こんばんわ！
1:36	みや☆	開幕舞元
1:36	餅兵衛たなぼた	はやいwww
1:36	かーくんkaakun	三色あるな
1:37	ともきち	じこくや
1:37	ちゃぼうず_cyabouzu	こんばんはー🌸
1:37	パイライトテディ	おねがいしますー
1:37	Jジェイ	こんばんはー！
1:38	ロザエ	がんばえー
1:39	かえるライダー	そういうかんじなのね
1:39	sakura mituki	役満大変そう
1:40	syaga syagami	三色ないな
1:40	りょう wwじゅうごちゃい!!	三麻じゃないのか
1:40	調律	こんばんは
1:40	れめれめ	はやい
1:40	雨劉	こんばんはー🌸
1:40	FJK エンタメ	ユーザー参加型なんだ
1:40	Westeria	頑張れー
1:40	MON JA	お願いしまーす
1:41	ななみさん	がんばれ～～
1:41	るーらん	こんばんは～🌸
1:41	雨の宿り木	がんばれー！
1:42	ミッドナイト花プゥンNAT	こんばんは〜
1:42	サナ	がんばれ！
1:42	ni-ka	こんばんわー
1:43	十波由真	がんばれー
1:43	甘木	がんばえー
1:43	norノア	こんばんはー
1:43	なじー	はじまってた
1:44	ほわちゃん	こんばんはー
1:44	琵琶丸	よろしくお願い致します
1:46	ルィス	三暗刻がいつ出るか
1:46	お前ら_	耐久配信中の夜食代です🌸リアルゴールドも添えて🍹	￥4,040
1:46	カマキリ星人	がんばれ～！
1:46	ちゃんちゃんしおしお	がんばえー
1:47	ゆきた	いえええええい
1:47	くぅくぅ	おはくず
1:47	レモン	地獄…
1:47	感覚派	こんばんは～
1:47	チィヤ	これ四人でやるんじゃないのか
1:48	十三姫	がんばえー
1:53	ゆっくりRewrite	三色見えたな
1:53	ネムレス	お願いします！
1:55	コロンゾン	役満は数え役満も入るのか？
1:55	飴あられ	こんばんは～
1:55	jirou yamada	三色おじさんくる？
1:55	レプタイル	お願いしまーす
1:56	まにまにボッコロ	こんばんは
1:57	親方仙人		￥3,000
1:57	sa	がんばれ～
1:57	ザッハトルテ。	こんばんはー🌸
1:58	FJK エンタメ	親戚（？）
1:58	みやまちかげ	がんばれ～
1:58	ぐぅたら	がんばれー
1:58	くろしば	おっ経験者
1:59	ムラ	がんばれー🌸
1:59	わかめ	司開幕テンション低くて笑った
1:59	ごはん	こんばんは
1:59	えびび大福	こんばんは
2:00	醤油砂糖	地獄ですね
2:00	レモン	おはくず～
2:00	ミキSS	こんばんは┏○ﾍﾟｺｯ頑張って	￥200
2:00	霜月優羽	ふぁいと〜！
2:01	Kudrjavka	お願いしまーす
2:01	ShingoMk-Ⅱ	頑張って！
2:02	ななし	こんばんはー！
2:02	ロザエ	経験者つよい
2:03	ロジー	こんばんはー
2:04	花吹雪	共通の見通し
2:05	まどぶち	こんばんはー
2:05	たぶまる	心強い！！
2:05	ありにゃ	おはくず
2:06	レモン	経験者ｗｗ
2:06	rapid eye rabbit	がんばれー
2:06	MON JA	頑張ってー
2:06	十波由真	これは3色だな
2:07	アイリス	ファイトー
2:07	帰宅RTA	見通しが甘い
2:07	ささら	見通しが甘い…！
2:08	shimo 636	がんばれー
2:08	鶏だしクリーミィ	ほう、4時間
2:09	姫ノ木あく	がんばー
2:09	ノーマット	見通しが甘い
2:10	あおいの	ほんとぉ？
2:10	121mj	草
2:11	イコイコ	男側の声も入るのか、、、
2:12	メイダイン	地獄かな？
2:16	ノカゼ	草
2:16	なの	ヨシ！
2:17	ちゃんちゃんしおしお	草
2:18	飴あられ	フラグを立ててはいけない…！
2:18	Nao02	こんばんはー
2:18	アイリス	地獄の釜が開いた
2:18	Jジェイ	11時間は草
2:18	sora neko	こんばんは🌸
2:19	yamappii	10時間ｗ
2:19	トリウナギ	１０時間は地獄だった
2:19	ori ori	がんばってー！！
2:20	なじー	経験者はつよい
2:20	vtuber大好きアキーーー	七対子と三暗刻がツモ力によるよね。
2:22	れめれめ	10時間か
2:22	みなせ	2卓でやるのか
2:22	やまP	えっぐｗ
2:22	ミッドナイト花プゥンNAT	チャンタって純ちゃん？混ちゃん？
2:23	嘘800	よし、四時間で終わるな！
2:23	むあーん。	よし、じゃないがｗ
2:23	サナ	11…
2:23	やまぶどう	やっば
2:23	帰宅RTA	ほんとぉ？
2:24	wildcat5314	こんばんは、おなしゃ～す
2:27	Practical Pig	三色見える
2:27	ネムレス	ヨシ！
2:27	Nights -O	１１は草
2:28	氷水	見通しが甘い
2:28	真っ黒フウ	ﾋｪｯ…
2:28	七味とんがらし	見通しが甘い定期
2:29	sa	草
2:29	のーれっじ	見通しはいつも甘い
2:29	鉄おから	こんばんは
2:29	トンキン湾の人喰い虎	こんばんは～🌸
2:30	エビ天	11…ｗ
2:30	甘木	こんばんは
2:30	片岡タコス	四暗刻と三暗刻はちがくね
2:30	エヴォルテクターシュバリエ	さすが見通しが甘い
2:30	メイダイン	2卓なら5.5だな！
2:30	フラグクラッシャー	よしじゃないんだわw
2:30	只野仁	飯食ってたしねw
2:30	なひいす	役満きついな
2:31	shimo 636	あまあま
2:31	テーク	10時間かかるのを4人だったらまぁ…
2:31	月十字	今回はその１/４でいけるな
2:31	sakura mituki	しおしお～
2:31	〆作	リスナーの協力もありなのかな
2:32	うなぎーぬ	おいすー
2:32	花吹雪	もっと見通しが甘い
2:32	年刊木材	草
2:33	チィヤ	これ通話で何が欲しいとか言っていいの？
2:33	カンザキシン	それはどうかな・・・
2:34	レイザーRR	ﾖｼｯ！
2:34	ひこたろ	なげえｗ
2:34	楠栞桜 / Kusunoki Sio	音量大丈夫ですか？！
2:34	せしのれ	何がヨシなんだ・・・？ｗ
2:40	Nights -O	ほんとかなぁ
2:40	keg-on	12時間了解！
2:40	Kudrjavka	がんばれー
2:40	茉名.まな.	草
2:41	はんぺん	これ終わらんやつでは・・
2:41	zoo nie	天鳳しながら見てます
2:42	とろTak庵	草
2:42	パイライトテディ	なるほどね
2:42	グラン	嘘つけぇ
2:42	ろくじょう	がんばりましょうー
2:43	やまP	栞桜ちゃーーん
2:44	sakkon	見通しが甘い
2:44	ひっきー	見通しがｒｙ
2:46	カマキリ星人	見通しが甘い
2:46	。美月	大丈夫！
2:46	白石束	大丈夫ですよ〜
2:46	クラインドルフ	日付変わらないといいよね
2:46	あい	大丈夫ですー
2:46	年刊木材	大丈夫です
2:47	どんぐり1986	大丈夫そうですよ
2:47	_lili_	OKです！
2:47	やる夫	でぇじょうぶ
2:47	30 SK	大丈夫です！
2:47	Makotola	問題ありません
2:47	k y	みとーしあまあま
2:47	ShingoMk-Ⅱ	大丈夫
2:47	sakura mituki	大丈夫です！
2:47	エビ天	音量大丈夫です
2:48	レイザーRR	音量大丈夫そう
2:48	ひろやん	大丈夫よ
2:48	はるめたる	大丈夫です
2:48	Orpheus1221	大丈夫
2:48	Practical Pig	大丈夫
2:48	高速フーリエ変換	良い感じです
2:48	なの	大丈夫！
2:48	テーク	音量大丈夫ですよ～！
2:48	トーン	見通しが
2:48	不思議の国の人形	大丈夫
2:49	あおばーん	大丈夫
2:50	ろくじょう	大丈夫ですー
2:51	やっさん	大丈夫い
2:51	しぐの	音量大丈夫です！
2:51	ヤス	大丈夫！
2:51	陽炎	見通しが甘い
2:51	レモン	音量大丈夫です
2:51	月十字	音量OK
2:51	Astral Clover	大丈夫です！
2:51	ナゴツク	大丈夫です
2:51	ななし	大丈夫だよー
2:52	帰宅RTA	早すぎて草
2:52	こころふるえる	おｋですよ
2:52	うみとり	大丈夫です
2:53	甘木	音量大丈夫です！
2:53	小咲	4人なら3時間でいけるな
2:53	ネムレス	がんばれーー
2:53	とーこつ	音量オッケーです
2:56	花吹雪	牌盗んできてるだろそれ
2:57	はんぺん	うせやろ？
2:57	すしゅ	はっやｗｗｗｗｗｗｗｗ
2:57	Nights -O	しおちゃんの声ちょっと小さい
2:58	もののおのの	2
2:58	飴あられ	音量ok
2:59	ShingoMk-Ⅱ	草
2:59	司-つかさ-	草
2:59	Akiteru Fjimoto	おkです
2:59	ぽふみん	音量大丈夫です
2:59	ちゃぼうず_cyabouzu	大丈夫やろ～（フラグ）
3:00	サイン	2
3:00	れめれめ	草
3:00	akki	草
3:00	ネムレス	草
3:01	パイライトテディ	大丈夫かな？
3:01	あのんまのんver.II	2時間ｗ
3:01	ボルツ	がんばえー	￥500
3:01	右目ウニキ	見通しが甘い
3:02	嘘800	2時間は草
3:02	サナ	目標は目標だから
3:02	なーく	ルイスさーんｗ
3:02	ひっきー	どんどん早まっていくｗ
3:02	Jippa	強気だ
3:03	Ash Alba	見通しが甘い
3:03	ピコット	音量大丈夫。やや舞元さんのがこもってるかな
3:03	ささら	むりそう
3:05	しゃしゃ	2人×2卓なのか、勘違いしてた
3:05	Mr. yakushasu	おｋです
3:06	ns zn	じゃあ1時間ぐらいか
3:07	やまP	幼女
3:07	taka32 S	大丈夫です
3:07	げるまにうむ。	見通しが甘すぎて草
3:07	冷凍りんご	草
3:07	みちゃき	大丈夫です。
3:07	甘木	全員見通しが甘くて草
3:07	rapid eye rabbit	OKです！
3:10	ruska	見通しがあますぎる
3:10	Cerulean	寝ちゃいそう
3:10	はりはり	草
3:10	ろくじょう	はやいねーｗ
3:11	レモン	２時間ｗｗｗｗ
