0:46	レッドウッドへいぽう	こんばんわー
0:46	杏【きょう】	こんばんわ！🌸
0:47	sa	こんばんは🌸
0:47	しまご	こんばんは
0:47	グラン	こんばんは～
0:47	北傘	こんばんはー
0:47	おかしろ	こんばんわ～🌸
0:47	hasuneみのOG	こんばんんはー
0:47	gaty fs	マシュマロ送ります？
0:48	あのんまのんver.II	なんだマシュマロ配信だったか
0:48	Ryu Windy	こんばんは～
0:48	ネムレス	草
0:49	花吹雪	こんばんはー🌸
0:49	くろう	こんばんは🌸
0:49	錆太刀	最初から全裸なら脱衣はできないよな？
0:49	HAYASHI TTT	こんばんは🌸
0:49	れもみ	こんばんは〜
0:50	ねみみん	こんばんわー🌸えぇ・・・
0:50	KA A	こんばんはー
0:50	GATA Mk2	こんばんはー
0:51	あいさかゆう	こんばんは～！
0:51	yukime nanashi	こんばんは
0:52	MOON hs	こんばんは🌸
0:52	rapid eye rabbit	草
0:52	でっど	こんばんは
0:56	やまぶどう	こんばんはー
0:56	たい焼き袋詰	こんばんは
0:57	サンタさん	こんばんは！
0:57	茉名.まな.	こんばんはー🌸
0:57	月色	こんばんは
0:57	四季綾ノ乃	こんばんはー🌸
0:57	なーく	捏造ｗ
0:57	ShingoMk-Ⅱ	こんばんは🌸
0:58	taka32 S	こんばんは🌸
0:58	tias estel	こんばんは🌸
0:58	響える	こんばんわー(2回目)
0:59	桜茶	草
0:59	ザッハトルテ。	こんばんはー🌸
0:59	gaty fs	エアマシュマロ作らないでくださいw
0:59	30歳副住職	こんばんわー🌸
1:00	ふむふむ	草
1:00	あつ	こんばんはー
1:00	おかしろ	！？
1:01	エビ天	草
1:02	ぎんいろ	こんばんはー
1:02	tangerineタンジェリン	こんばんはー
1:02	ワ・カ・メ	こんばんはー！
1:02	Nehalem	こんばんは～oo/
1:02	トラ	エアマロ読むな
1:02	北石	マシュマロ配信に変わってて草
1:03	ちっそむし	こんばんは
1:03	ElixiR /N	？？？？
1:03	パイライトテディ	履いてない！？
1:03	嘘800	草
1:03	テーク	こんばんは～～🌸
1:03	桜夏	こんばんは〜！	￥250
1:03	ruska	！？
1:04	CarMania E-NA1	こんばんは、初回のラジオかな？
1:04	茉名.まな.	草
1:04	飲む牛乳	開幕草
1:04	あきら	草
1:04	Jジェイ	こんばんはー！
1:04	とき	草
1:04	帰宅RTA	履いてないのか…
1:05	レモン	巻き込み事故ｗ
1:09	くろしば	はいてないｗｗ
1:10	えいちゃん·H	こんばんはー
1:10	やまぶどう	！？
1:10	rapid eye rabbit	履いてない
1:10	花嫁の魔女	履いて、、、
1:10	ぎんいろ	開幕草
1:11	ことかげ	えっちだ
1:11	GATA Mk2	さすが全裸配信の女
1:11	ふぁりゅ	全裸配信ですよその人
1:11	さぁや	こんばんは〜
1:12	gaty fs	会話のドッジボールやｗｗｗ
1:12	神無月健二	こんばんわ～🌸
1:12	ヒロノP'	御機嫌よう
1:12	アステラピス	草
1:12	_lili_	全裸安定
1:12	びろーん	ごきげんよう🌸
1:13	MOON hs	草
1:13	ゆさ石奏	開幕からストレートの打ち合いで草
1:14	プリヤ氷一郎	ごきげんよう
1:14	ゆんゆん	先生安定の「履いてない」
1:14	芝村	こんばんは～！
1:14	air ch	草
1:14	ゆかの妹子	いきなり爆弾発言
1:15	しあわせターン	こんばんは～
1:15	もるぽん	エアマロ
1:15	あやややや	草
1:15	まるかね	草
1:15	なむ	いきなりなんてこと言うんだｗ
1:15	永月河	無色透明
1:18	とろTak庵	草
1:18	やあけ	デッキを切り捨てられるw
1:18	Chocola	マジなんだよなぁ
1:18	プリヤ氷一郎	こんばんは
1:19	LaFr4nc3	こんばんは🌸
1:19	ElixiR /N	こんばんはー
1:19	コタケリョウ	返しがうまくて草
1:19	Plata	ごきげんよう
1:24	shigure tokiame	開幕から全開で草
1:24	るあし。	こんばんは〜
1:24	霧という名を持つ狼	冗談だとおもうでしょ？
1:24	桜花ありす	いきなり何の話ｗ
1:25	あやややや	ごきげんよう
1:25	shigeru-akagi-100	いつも着てないで配信してるっていってたよｗ
1:25	ねるね	先生基本全裸だから
1:25	しゃの	おいおい栞桜ちゃんノーパンかよ
1:25	J PR	こんばんは	￥200
1:25	うえってぃR	初手はいてないは草
1:26	ドラス	初っ端から下着の話してんなｗ
1:27	Tsubasa		￥1,000
1:27	フリティン	そいやー全裸だったな
1:28	330		￥200
1:28	やまぶどう	巻き込まれてて草
1:29	真珠	履いてないのか…
1:30	リベア	こんばんはー
1:30	shimo 636	草
1:31	嘘800	OTL
1:31	サナ	お嬢様！？
1:32	ローズマリー	郡道先生、一枚上手だった
1:32	Nights -O	土下座w
1:32	さーもばりっく あっと 大艦巨砲主義	こんばんはー
1:33	十三姫	ｗｗ
1:33	としn	こんばんは
1:33	オーレウェルギウス	こんばんは🌸
1:33	おかしろ	土下座！？ｗ
1:34	グリヴェン	秋刀魚だー！
1:35	くろしば	草
1:35	Orpheus1221	パンツくらい履いてなさい
1:36	kuro5469	美玲全裸だからｗ
1:37	親方仙人		￥2,000
1:37	a a	！？
1:37	月刊アフロ	最高に白ってやつだ！
1:37	ぶどー	土下座するのでｗｗ
1:38	2002 Yukina_chan	エッッッ
1:38	太陽の塔	靴舐められましたか？
1:39	tangerineタンジェリン	エッチじゃん
1:41	北石	サンマのプロ…？
1:41	チーズメンチカツ	全裸で土下座を…？
1:42	【 叶笑 】magica〝桜一色〟	再びこんばんは
1:42	ヒロノP'	プロにしてくださいは草
1:43	ピコット	え？まじ？
1:43	O B	会話の一方通行
1:44	くろう	先生ｗｗ
1:44	ElixiR /N	秋刀魚
1:44	なひいす	ぐるってるのおまかん？
1:45	パイライトテディ	サンマきたああ
1:46	とろろ	知らなかったｗ
1:46	ろくじょう	一夜漬けｗ
1:46	きゅーかんばー	土下座w
1:47	Nights -O	ほんとだねぇ
1:48	ひっきー	そうなのか…？！
1:48	しばづけ	秋刀魚のプロ
1:48	プリヤ氷一郎	ほうほう
1:51	レモン	あれ…そうか…
1:51	やあけ	お邪魔してばかりですからねえ
1:52	オトーフ	サンマはホンイツ！ホンイツ！
1:52	飲む牛乳	たしかに
1:53	皇	再びこんばんは🌸
1:53	此処葉	草
1:54	とろろ	初めましてではない
1:54	Midgardミッドガルド	ちゃんとやるのは初ですね
1:55	Kirisame ring	サシのコラボは初なのか
1:55	彩りの民	そういえばそうか
1:55	帰宅RTA	正式は初めてか
1:56	プリヤ氷一郎	よろしく
1:56	O B	この前のは突発か
1:56	sora neko	三麻のプロとは
1:56	Ryu Windy	あぁ、突発じゃ無いやつは初なのか
1:56	北石	もう五回くらいコラボしてる感覚だった
1:57	K Tony	ネコをかぶっていく
1:57	木更津ゆき	こんばんさ
1:58	まこだいあ	こんばんはー🌸
1:58	司令_つかされい	自己紹介は大事
1:59	うみとり	こんばんは
1:59	北傘	そういえば今までの全部突発だったな
2:00	プリヤ氷一郎	知ってます
2:00	茉名.まな.	突発ばっかりだからねw
2:00	ことかげ	草
2:01	飲む牛乳	こんばんはー
2:01	あのんまのんver.II	草
2:01	にいやまざくろ	確かに飛び込みばっかりだったから
2:01	いざよいさくや	全裸土下座…？
2:01	とろTak庵	そういえばそうだったね
2:02	レッドウッドへいぽう	はじめまして？ｗ
2:02	氷水	え？そうだっけ
2:02	蒼樹リアラ	言われてみればそうなのか、、、
2:02	桜茶	初コラボで土下座スタートｗ
2:03	おは	基本突発やから
2:05	ソラ	そうか初かｗｗ
2:05	もかもか	こんばんはー
2:06	Flanve F	清楚な人やろなー(棒
2:06	GALM1 Cipher-ガルム1 サイファー-	こんばんわー	￥250
2:06	yamappii	今までは突発コラボだったもんね
2:07	rapid eye rabbit	言われてみればそうか
2:07	ひい	汚物さん
2:07	山田エミール	あ、そういえばw
2:07	グレブナー基底	たしかに
2:08	レプタイル	3回全部突発だった
2:08	si n	はじめまして
2:08	CEO T		￥1,000
2:08	ふむふむ	存じております
2:10	ごんめめ	めちゃぐるぐるする
2:10	暁宵	実はちゃんとやるのは初なんですよねそういえばびっくりです
2:11	月刊アフロ		￥410
2:11	やまぶどう	飛び入りだったもんね
2:11	Nights -O	今更感はあるがw
2:11	taka32 S	そういえばそうかｗ
2:11	MiZUKi	こんばんは🌸
2:11	ニッケル	全裸で椅子に座る人
2:12	くろう	なんかもうかなり仲良しなイメージあったわ
2:12	花吹雪	いつもおじゃましてたなそういえば
2:12	エビ天	一回隠したほうが
2:15	木更津ゆき	そっか三麻かぁ
2:15	きなこ	初コラボ記念✨	￥1,000
2:16	帰宅RTA	草
2:16	Orpheus1221	草
2:16	いざよいさくや	ちゃんとしたコラボは初めてか
2:17	茉名.まな.	草
2:18	Midgardミッドガルド	名前ガチャですか？
2:18	むばぃん	使用済みｗ
2:19	Westeria	絡みはしばしばあるけど正式なコラボは初
2:20	なーく	それははいるわｗ
2:20	ありにゃ	こんばんはー
2:20	頗る[すこぶる]平和CE	こんばんは
2:21	やあけ	隠さないw
2:21	GATA Mk2	そういうもんじゃないんだわ（真顔）
2:22	きゅーかんばー	はじめましてー（棒）
2:22	孤高の探索者	ちゃんとした形ではそうですね
2:23	伊藤耀介	雑コラボはあった気がするけどちゃんとやるのは初めてか
2:24	さぁや	早いw
2:24	ひっきー	力技ｗ
2:24	マーボー8896	お噂はかねがね
2:25	今日のカカシ	そういえば突発ばかりか
2:25	やっとう	こんばんはー🌸
2:25	レモン	草
2:26	にーね	全然初めましての感じがしないなぁ
2:26	くらつ	第一印象が全裸で土下座している人になっちゃいましたねぇ
2:26	なひいす	草
